,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
0,1,Abilene Christian University,150+,Abilene,TX,Texas,www.acu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,50,65.0,53.0,Not Required,Considered,Required,10534,6679,63.4,859,12.86,510.0,620.0,500.0,600.0,21.0,27.0,20.0,28.0,18.0,26.0,37750.0,50.0,37750.0,50.0,37800,37800," , Abilene, Texas 79699",9975,"(32.483321000000004, -99.71547603665134)",32.483321000000004, -99.71547603665134
1,2,Adams State University,150+,Alamosa,CO,Colorado,www.adams.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,30,30.0,16.0,Not Required,Required,Recommended,1690,1688,99.88,348,20.62,450.0,550.0,440.0,540.0,17.0,22.0,15.0,22.0,17.0,21.0,17592.0,3704.0,5856.0,3704.0,21296,9560,"208 Edgemont Blvd, Alamosa, Colorado 81101",38983,"(37.47225363420295, -105.88065949810635)",37.47225363420295, -105.88065949810635
2,3,Adelphi University,150+,Garden City,NY,New York,www.adelphi.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,50,50.0,60.0,Required,Required,Required,15329,11437,74.61,996,8.71,530.0,620.0,530.0,630.0,21.0,27.0,21.0,27.0,20.0,27.0,39820.0,1615.0,39820.0,1615.0,41435,41435,"South Ave, Garden City, New York 11530-0701",34660,"(40.7227794, -73.6526534)",40.7227794, -73.6526534
3,4,Adrian College,150+,Adrian,MI,Michigan,www.adrian.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,0,0.0,30.0,Not Required,Required,Considered,4439,2717,61.21,538,19.8,460.0,570.0,467.0,550.0,19.0,25.0,17.0,24.0,18.0,26.0,37755.0,975.0,37755.0,975.0,38730,38730,"110 S Madison St, Adrian, Michigan 49221-2575",10778,"(41.89849465, -84.06083239910039)",41.89849465, -84.06083239910039
4,5,AdventHealth University,150+,Orlando,FL,Florida,www.ahu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,20,100.0,14.0,Not Required,Required,Required,263,239,90.87,99,41.42,520.0,600.0,490.0,540.0,21.0,24.0,23.0,24.0,20.0,23.0,18900.0,900.0,18900.0,900.0,19800,19800,"671 Winyah Drive, Orlando, Florida 32803",3462,"(28.5766915, -81.3691308)",28.5766915, -81.3691308
5,6,Alabama State University,150+,Montgomery,AL,Alabama,www.alasu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,25.0,10.0,Not Required,Required,Required,7027,6948,98.88,975,14.03,438.0,531.0,406.0,518.0,14.0,20.0,14.0,20.0,14.0,20.0,16656.0,2740.0,8328.0,2740.0,19396,11068,"915 S Jackson Street, Montgomery, Alabama 36104-0271",3453,"(32.36334985, -86.29355107996977)",32.36334985, -86.29355107996977
6,7,Albany College of Pharmacy and Health Sciences,150+,Albany,NY,New York,www.acphs.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,0,75,95.0,56.0,Required,Required,Required,1693,1273,75.19,117,9.19,550.0,640.0,580.0,660.0,25.0,31.0,,,,,36120.0,625.0,36120.0,625.0,36745,36745,"106 New Scotland Avenue, Albany, New York 12208-3492",7700,"(42.65202585, -73.77861219145161)",42.65202585, -73.77861219145161
7,8,Albany State University,150+,Albany,GA,Georgia,www.asurams.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,25,25.0,8.0,Not Required,Considered,Required,7655,5590,73.02,1443,25.81,380.0,460.0,360.0,440.0,15.0,18.0,13.0,17.0,15.0,17.0,14786.0,1870.0,4064.0,1870.0,16656,5934,"504 College Drive, Albany, Georgia 31705",9481,"(31.5678798, -84.14057937069398)",31.5678798, -84.14057937069398
8,9,Allegheny College,150+,Meadville,PA,Pennsylvania,allegheny.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,0,0,,66.0,Required,Considered,Required,4380,3204,73.15,400,12.48,580.0,680.0,560.0,670.0,24.0,30.0,22.0,31.0,22.0,27.0,50480.0,500.0,50480.0,500.0,50980,50980,"520 N Main St, Meadville, Pennsylvania 16335-3902",12654,"(41.647273080070164, -80.14633702925218)",41.647273080070164, -80.14633702925218
9,10,American College of the Building Arts,150+,Charleston,SC,South Carolina,acba.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Midsize,Implied no,0,50,,,Required,Required,Not Required,17,11,64.71,11,100.0,528.0,593.0,468.0,633.0,19.0,29.0,19.0,29.0,18.0,28.0,19872.0,700.0,19872.0,700.0,20572,20572,"649 Meeting Street, Charleston, South Carolina 29403-4223",8539,"(32.805159, -79.946274)",32.805159, -79.946274
10,11,American International College,150+,Springfield,MA,Massachusetts,www.aic.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,50.0,7.0,Recommended,Considered,Required,1956,1357,69.38,342,25.2,440.0,550.0,450.0,550.0,22.0,29.0,,,,,38220.0,0.0,38220.0,0.0,38220,38220,"1000 State Street, Springfield, Massachusetts 01109",8343,"(42.113816, -72.55788180066077)",42.113816, -72.55788180066077
11,12,American University,79,Washington,DC,District of Columbia,www.american.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,75,65.0,76.0,Required,Considered,Required,20036,7744,38.65,1607,20.75,630.0,710.0,590.0,680.0,27.0,32.0,28.0,34.0,24.0,29.0,50542.0,819.0,50542.0,819.0,51361,51361,"4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001",3497,"(38.93804505, -77.08939223651926)",38.93804505, -77.08939223651926
12,13,Amherst College,150+,Amherst,MA,Massachusetts,www.amherst.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Suburb: Large,Implied no,0,60,,85.0,Required,Considered,Required,10603,1254,11.83,434,34.61,710.0,770.0,720.0,790.0,32.0,35.0,33.0,36.0,29.0,34.0,59890.0,1000.0,59890.0,1000.0,60890,60890,"Boltwood Avenue, Amherst, Massachusetts 01002-5000",13860,"(42.3755788, -72.5189941)",42.3755788, -72.5189941
13,14,Anderson University,150+,Anderson,IN,Indiana,anderson.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,0,0.0,50.0,Considered,Considered,Required,3905,2597,66.5,327,12.59,470.0,580.0,480.0,580.0,18.0,25.0,18.0,24.0,18.0,25.0,31470.0,630.0,31470.0,630.0,32100,32100,"1100 E 5th St, Anderson, Indiana 46012-3495",13050,"(40.11455395, -85.6607189805517)",40.11455395, -85.6607189805517
