id,name,safety_index,health_index,1b_rent_oc,1b_rent_cc,basic_utils_85m2,internet_60mbps,trans_means,gas_liter,monthly_pass_local_trans,one_way_local_trans,meal_for_two_midrange_rest,meal_inex_rest,safety_lvl,health_lvl
3398,"Birmingham, AL, United States",43.07,70.13,821,910,177.06,68,"{'Walking': 15, 'Car': 85}",0.881608277,0,1.25,60,18,(Moderate),(High)
3423,"Grand Rapids, MI, United States",60.36,86.78,1119,1323,107.88,68,"{'Car': 90, 'Bus/Trolleybus': 5, 'Working from Home': 5}",0.855494934,35,1.75,60,12,(High),(Very High)
3434,"Jackson, MS, United States",26.4,59.03,600,0,265.67,79,"{'Walking': 14, 'Car': 86}",0.804139974,0,0,60,12,(Low),(Moderate)
3437,"Kansas City, MO, United States",42.59,75.4,883,1163,171.36,66,"{'Car': 88, 'Working from Home': 12}",0.841460068,50,1.5,60,18,(Moderate),(High)
3440,"Little Rock, AR, United States",39.82,68.85,783,737,166.16,67,"{'Walking': 15, 'Car': 80, 'Working from Home': 5}",0.780364487,36,1.35,50,15,(Low),(High)
3443,"Louisville, KY, United States",43.94,63.52,873,1086,159.05,59,"{'Car': 96, 'Bus/Trolleybus': 4}",0.877051215,35,1.85,55,15,(Moderate),(High)
3446,"Memphis, TN, United States",25.77,43.18,971,1155,171.53,79,"{'Car': 93, 'Working from Home': 7}",0.844505293,43,1.75,59,15,(Low),(Moderate)
3450,"Minneapolis, MN, United States",44.84,78.9,1075,1453,161.78,61,"{'Walking': 5, 'Train/Metro': 1, 'Car': 78, 'Bus/Trolleybus': 9, 'Working from Home': 2, 'Bike': 5}",0.84821479,85,2.5,60,16,(Moderate),(High)
3453,"Montgomery, AL, United States",36.55,37.96,1000,925,159.25,70,{'Car': 100},0.805460967,0,0,40,15,(Low),(Low)
3455,"New York, NY, United States",52.42,61.83,2252,3328,170.01,65,"{'Walking': 21, 'Train/Metro': 42, 'Car': 22, 'Bus/Trolleybus': 5, 'Working from Home': 6, 'Bike': 4}",1.002867616,129,2.75,100,20,(Moderate),(High)
