id,institution,rank,city,state,website,institution_level,private,graduate_offering,urbanization_degree,distance_education_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location
697,Vassar College,150,Poughkeepsie,New York,www.vassar.edu/,Four or more years,TRUE,TRUE,Suburb,FALSE,65,65,87,Required,Required,Required,8663,2126,24.54,588,27.66,680,750,680,770,32,34,34,35,28,32,60030,900,60030,900,60930,60930,"124 Raymond Ave, Poughkeepsie, New York 12604",11816,"(41.686786, -73.8956971)"
13,Amherst College,150,Amherst,Massachusetts,www.amherst.edu/,Four or more years,TRUE,FALSE,Suburb,FALSE,60,0,85,Required,Considered,Required,10603,1254,11.83,434,34.61,710,770,720,790,32,35,33,36,29,34,59890,1000,59890,1000,60890,60890,"Boltwood Avenue, Amherst, Massachusetts 01002-5000",13860,"(42.3755788, -72.5189941)"
538,Tufts University,28,Medford,Massachusetts,www.tufts.edu/,Four or more years,TRUE,TRUE,Suburb,TRUE,75,85,87,Required,Required,Required,23127,3770,16.3,1615,42.84,680,750,700,780,32,35,0,0,0,0,59560,1302,59560,1302,60862,60862," , Medford, Massachusetts 02155-5555",12296,"(42.4184296, -71.1061639)"
662,University of Southern California,27,Los Angeles,California,www.usc.edu/,Four or more years,TRUE,TRUE,City,TRUE,85,90,77,Required,Required,Required,59712,9618,16.11,3460,35.97,660,740,680,790,30,34,32,35,28,34,59260,1015,59260,1015,60275,60275,"University Park, Los Angeles, California 90089",3442,"(34.023152483990366, -118.28515899456846)"
62,Brown University,14,Providence,Rhode Island,www.brown.edu/,Four or more years,TRUE,TRUE,City,TRUE,75,75,85,Required,Considered,Recommended,36793,2822,7.67,1756,62.23,710,770,730,790,33,35,34,36,30,35,59254,1442,59254,1442,60696,60696,"One Prospect Street, Providence, Rhode Island 02912",8406,"(41.8348554, -71.406433)"
83,Carleton College,150,Northfield,Minnesota,www.carleton.edu/,Four or more years,TRUE,FALSE,Town,FALSE,0,0,88,Required,Considered,Required,6892,1460,21.18,453,31.03,660,750,670,770,30,34,32,35,27,34,58968,384,58968,384,59352,59352,"One North College Street, Northfield, Minnesota 55057",11087,"(44.47183535, -93.14145805901515)"
540,Union College,150,Schenectady,New York,www.union.edu/,Four or more years,TRUE,FALSE,City,TRUE,60,0,83,Required,Considered,Required,7622,3145,41.26,466,14.82,600,680,610,720,28,33,27,34,26,31,58956,546,58956,546,59502,59502,"807 Union Street, Schenectady, New York 12308-2311",13807,"(42.814452, -73.93084400000001)"
120,Columbia University in the City of New York,150,New York,New York,www.columbia.edu/,Four or more years,TRUE,TRUE,City,TRUE,85,115,87,Required,Required,Recommended,40462,2695,6.66,1521,56.44,720,770,740,800,33,35,34,36,31,35,58920,2751,58920,2751,61671,61671,"West 116 St, New York, New York 10027",3455,"(40.8074146, -73.9624345)"
126,Connecticut College,150,New London,Connecticut,www.conncoll.edu/,Four or more years,TRUE,FALSE,City,TRUE,0,0,78,Required,Considered,Required,6882,2596,37.72,434,16.72,650,720,660,730,30,33,30,35,27,31,58660,365,58660,365,59025,59025,"270 Mohegan Avenue, New London, Connecticut 06320-4196",33778,"(41.378826000000004, -72.1051677760222)"
131,Cornell University,17,Ithaca,New York,www.cornell.edu/,Four or more years,TRUE,TRUE,City,TRUE,80,105,88,Required,Considered,Required,51500,5514,10.71,3249,58.92,680,750,720,790,32,35,34,35,30,35,58586,696,58586,696,59282,59282,"300 Day Hall, Ithaca, New York 14853",9872,"(42.450550699999994, -76.47835129554275)"
