UnitID,Institution Name,Institution (entity) name,Institution name alias,Street address or post office box,City location of institution,State abbreviation,ZIP code,Institution's internet website address,Admissions office web address,Online application web address,Level of institution,Control of institution,Degree-granting status,Undergraduate offering,Graduate offering,Degree of urbanization (Urban-centric locale),Distance education courses offered,Distance education programs offered,Undergraduate application fee,Graduate application fee,4-year Graduation rate - bachelor's degree within 100% of normal time,Recommendations,Admission test scores,TOEFL (Test of English as a Foreign Language ),Applicants total,Admissions total,Enrolled total,SAT Evidence-Based Reading and Writing 25th percentile score,SAT Evidence-Based Reading and Writing 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,ACT English 25th percentile score,ACT English 75th percentile score,ACT Math 25th percentile score,ACT Math 75th percentile score,Published in-state tuition and fees 2020-21,Published out-of-state tuition and fees 2020-21,Published out-of-state tuition 2020-21,Published out-of-state fees 2020-21,Published in-state tuition 2020-21,Published in-state fees 2020-21,rank_display,cityData_Fetcch,city_id
166683,Massachusetts Institute of Technology,Massachusetts Institute of Technology,MIT  M.I.T.,77 Massachusetts Avenue,Cambridge,MA,02139-4307,web.mit.edu/,https://mitadmissions.org/,my.mit.edu/,1,2,1,1,1,12,1.0,0.0,75.0,75.0,85.0,1.0,1.0,2.0,20075.0,1457.0,1070.0,730.0,780.0,780.0,800.0,34.0,36.0,35.0,36.0,34.0,36.0,53450.0,53450.0,53450.0,0.0,53450.0,0.0,1,"Cambridge, MA",10377
243744,Stanford University,Stanford University,,,Stanford,CA,94305,www.stanford.edu/,admission.stanford.edu/,commonapp.org/,1,2,1,1,1,21,1.0,1.0,90.0,125.0,75.0,1.0,1.0,2.0,45227.0,2349.0,1606.0,700.0,770.0,720.0,800.0,31.0,35.0,33.0,36.0,30.0,35.0,56169.0,56169.0,55473.0,696.0,55473.0,696.0,3,"Stanford, CA",8279
166027,Harvard University,Harvard University,,Massachusetts Hall,Cambridge,MA,2138,www.harvard.edu/,college.harvard.edu/admissions,college.harvard.edu/admissions/application-process/application-requirements,1,2,1,1,1,12,1.0,1.0,75.0,105.0,87.0,1.0,1.0,3.0,40248.0,2015.0,1407.0,720.0,780.0,740.0,800.0,33.0,35.0,35.0,36.0,31.0,35.0,54002.0,54002.0,49653.0,4349.0,49653.0,4349.0,5,"Cambridge, MA",10377
110404,California Institute of Technology,California Institute of Technology,Caltech,1200 E California Blvd,Pasadena,CA,91125,www.caltech.edu/,www.admissions.caltech.edu/,www.admissions.caltech.edu/apply,1,2,1,1,1,12,0.0,0.0,75.0,100.0,81.0,1.0,1.0,1.0,8007.0,536.0,225.0,740.0,780.0,790.0,800.0,35.0,36.0,35.0,36.0,35.0,36.0,56862.0,56862.0,54570.0,2292.0,54570.0,2292.0,6,"Pasadena, CA",12291
144050,University of Chicago,University of Chicago,,5801 S Ellis Ave,Chicago,IL,60637,www.uchicago.edu/,collegeadmissions.uchicago.edu/,https://collegeadmissions.uchicago.edu/apply/,1,2,1,1,1,11,1.0,0.0,75.0,90.0,89.0,1.0,5.0,1.0,34350.0,2510.0,1847.0,730.0,770.0,770.0,800.0,34.0,35.0,35.0,36.0,31.0,35.0,60552.0,60552.0,57642.0,2910.0,57642.0,2910.0,10,"Chicago, IL",3405
215062,University of Pennsylvania,University of Pennsylvania,Penn  U of PA  U-Penn  U of P  Pennsylvania  UPenn  Pennsylvania University  University of Pennsylvania  Wharton  Wharton School of Business,34th & Spruce Street,Philadelphia,PA,19104-6303,www.upenn.edu/,www.upenn.edu/admissions/,www.admissions.upenn.edu/apply/,1,2,1,1,1,11,1.0,1.0,75.0,80.0,85.0,1.0,1.0,2.0,42205.0,3789.0,2321.0,710.0,770.0,750.0,800.0,33.0,35.0,34.0,36.0,31.0,35.0,60042.0,60042.0,53166.0,6876.0,53166.0,6876.0,13,"Philadelphia, PA",3465
130794,Yale University,Yale University,,Woodbridge Hall,New Haven,CT,6520,https://www.yale.edu/,https://admissions.yale.edu/,https://admissions.yale.edu/first-year-application-process,1,2,1,1,1,12,1.0,0.0,80.0,105.0,88.0,1.0,5.0,1.0,35220.0,2299.0,1264.0,720.0,780.0,740.0,800.0,33.0,35.0,34.0,36.0,31.0,35.0,57700.0,57700.0,57700.0,0.0,57700.0,0.0,14,"New Haven, CT",7973
186131,Princeton University,Princeton University,,1 Nassau Hall,Princeton,NJ,08544-0070,www.princeton.edu/,,,1,2,1,1,1,13,0.0,0.0,70.0,95.0,87.0,1.0,1.0,1.0,32835.0,1848.0,1154.0,710.0,770.0,740.0,800.0,32.0,35.0,34.0,36.0,31.0,35.0,48502.0,48502.0,48502.0,0.0,48502.0,0.0,20,"Princeton, NJ",7971
190415,Cornell University,Cornell University,,300 Day Hall,Ithaca,NY,14853,www.cornell.edu/,https://admissions.cornell.edu/,https://www.commonapp.org/,1,2,1,1,1,13,1.0,1.0,80.0,105.0,88.0,1.0,5.0,1.0,51500.0,5514.0,3249.0,680.0,750.0,720.0,790.0,32.0,35.0,34.0,35.0,30.0,35.0,59282.0,59282.0,58586.0,696.0,58586.0,696.0,21,"Ithaca, NY",9872
170976,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,U of Michigan|U of M|Univ of Michigan|U Michigan Ann Arbor|University of Michigan Ann Arbor,503 Thompson Street,Ann Arbor,MI,48109,https://umich.edu/,https://admissions.umich.edu/,https://admissions.umich.edu/apply,1,1,1,1,1,12,1.0,1.0,75.0,75.0,79.0,1.0,5.0,1.0,65021.0,16974.0,6879.0,660.0,740.0,680.0,780.0,31.0,34.0,32.0,35.0,29.0,34.0,15948.0,52266.0,51838.0,428.0,15520.0,428.0,23,"Ann Arbor, MI",7859
162928,Johns Hopkins University,Johns Hopkins University,Johns Hopkins,3400 N Charles St,Baltimore,MD,21218-2688,www.jhu.edu/,https://apply.jhu.edu/,https://apply.commonapp.org/,1,2,1,1,1,11,1.0,1.0,70.0,75.0,87.0,1.0,1.0,1.0,30115.0,3330.0,1405.0,720.0,760.0,750.0,800.0,34.0,36.0,34.0,36.0,32.0,35.0,54160.0,54160.0,54160.0,0.0,54160.0,0.0,25,"Baltimore, MD",3396
147767,Northwestern University,Northwestern University,,633 Clark St,Evanston,IL,60208,www.northwestern.edu/,www.northwestern.edu/admissions/,www.northwestern.edu/admissions/,1,2,1,1,1,13,1.0,1.0,75.0,95.0,84.0,1.0,1.0,1.0,39263.0,3654.0,1901.0,700.0,760.0,730.0,790.0,33.0,35.0,34.0,36.0,31.0,35.0,58701.0,58701.0,58227.0,474.0,58227.0,474.0,30,"Evanston, IL",33606
110635,University of California-Berkeley,University of California-Berkeley,UC Berkeley,200 California Hall,Berkeley,CA,94720,www.berkeley.edu/,admissions.berkeley.edu/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,12,1.0,1.0,70.0,120.0,74.0,5.0,1.0,1.0,88062.0,15390.0,6117.0,650.0,740.0,660.0,790.0,30.0,35.0,27.0,35.0,27.0,34.0,14312.0,44066.0,41196.0,2870.0,11442.0,2870.0,32,"Berkeley, CA",9798
110662,University of California-Los Angeles,University of California-Los Angeles,UCLA,405 Hilgard Ave,Los Angeles,CA,90095-1405,www.ucla.edu/,www.admissions.ucla.edu/,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,11,1.0,1.0,70.0,120.0,77.0,3.0,3.0,2.0,108870.0,15602.0,6386.0,,,,,,,,,,,13249.0,43003.0,41196.0,1807.0,11442.0,1807.0,40,"Los Angeles, CA",3442
193900,New York University,New York University,,70 Washington Sq South,New York,NY,10012-1091,www.nyu.edu/,www.nyu.edu/admissions.html,www.nyu.edu/admissions/undergraduate-admissions/apply.html,1,2,1,1,1,11,1.0,1.0,80.0,110.0,76.0,1.0,5.0,5.0,80210.0,16918.0,6701.0,670.0,740.0,700.0,800.0,31.0,34.0,,,,,54880.0,54880.0,52204.0,2676.0,52204.0,2676.0,42,"New York, NY",3455
110680,University of California-San Diego,University of California-San Diego,UCSD  UC San Diego,9500 Gilman Dr,La Jolla,CA,92093,www.ucsd.edu/,admissions.ucsd.edu/index.html,admission.universityofcalifornia.edu/apply-now.html,1,1,1,1,1,11,1.0,0.0,70.0,105.0,62.0,3.0,1.0,1.0,100062.0,36634.0,6447.0,620.0,710.0,650.0,770.0,28.0,34.0,26.0,35.0,27.0,33.0,14648.0,44402.0,41196.0,3206.0,11442.0,3206.0,48,"La Jolla, CA",
198419,Duke University,Duke University,,103 Allen Bldg,Durham,NC,27708,www.duke.edu/,www.admissions.duke.edu/,admissions.duke.edu/application/instructions,1,2,1,1,1,11,1.0,1.0,85.0,95.0,87.0,1.0,1.0,2.0,39639.0,3068.0,1580.0,720.0,770.0,750.0,800.0,34.0,35.0,35.0,36.0,32.0,35.0,57633.0,57633.0,55880.0,1753.0,55880.0,1753.0,52,"Durham, NC",3415
